accession_number,taxid,CatTemp,OGT,GC,SpName,SpHierarchie
GCF_000337615.1,1227495,mesophile,37.0,0.649,Natrinema_pallidum,Archaea~Methanobacteriota~Halobacteria~Halobacteriales~Natrialbaceae~Natrinema~Natrinema_pallidum
GCF_030539705.1,83816,mesophile,37.0,0.356,Methanobrevibacter_ruminantium,Archaea~Methanobacteriota~Methanobacteria~Methanobacteriales~Methanobacteriaceae~Methanobrevibacter~Methanobrevibacter_ruminantium
GCF_029007355.1,1348249,mesophile,38.5,0.327,Methanobrevibacter_boviskoreani,Archaea~Methanobacteriota~Methanobacteria~Methanobacteriales~Methanobacteriaceae~Methanobrevibacter~Methanobrevibacter_boviskoreani
GCF_900215575.1,558529,mesophile,41.0,0.66,Natronoarchaeum_philippinense,Archaea~Methanobacteriota~Halobacteria~Halobacteriales~Natronoarchaeaceae~Natronoarchaeum~Natronoarchaeum_philippinense
GCF_020567525.1,755309,mesophile,37.0,0.686,Halorubellus_salinus,Archaea~Methanobacteriota~Halobacteria~Halobacteriales~Halorubellaceae~Halorubellus~Halorubellus_salinus
GCF_010119195.1,1429914,mesophile,37.0,0.677,Haloarcula_salina,Archaea~Methanobacteriota~Halobacteria~Halobacteriales~Haloarculaceae~Haloarcula~Haloarcula_salina
GCF_042662125.1,1198295,mesophile,37.0,0.661,Halopenitus_salinus,Archaea~Methanobacteriota~Halobacteria~Halobacteriales~Haloferacaceae~Halopenitus~Halopenitus_salinus
GCF_000317795.1,1056495,thermophile,75.0,0.308,Caldisphaera_lagunensis,Archaea~Thermoproteota~Thermoprotei~Acidilobales~Caldisphaeraceae~Caldisphaera~Caldisphaera_lagunensis
GCF_019669945.1,2209,mesophile,37.0,0.44,Methanosarcina_mazei,Archaea~Methanobacteriota~Methanomicrobia~Methanosarcinales~Methanosarcinaceae~Methanosarcina~Methanosarcina_mazei
GCF_000024625.1,579137,thermophile,80.0,0.328,Methanocaldococcus_vulcanius,Archaea~Methanobacteriota~Methanococci~Methanococcales~Methanocaldococcaceae~Methanocaldococcus~Methanocaldococcus_vulcanius
GCF_024494685.1,1126240,mesophile,37.0,0.686,Halorubrum_rubrum,Archaea~Methanobacteriota~Halobacteria~Halobacteriales~Haloferacaceae~Halorubrum~Halorubrum_rubrum
GCF_000025525.1,644281,hyperthermophile,90.0,0.325,Methanocaldococcus_unclassified,Archaea~Methanobacteriota~Methanococci~Methanococcales~Methanocaldococcaceae~Methanocaldococcus~Methanocaldococcus_unclassified
GCF_003675855.1,1547897,mesophile,40.0,0.681,Halostella_salina,Archaea~Methanobacteriota~Halobacteria~Halobacteriales~Natronoarchaeaceae~Halostella~Halostella_salina
GCF_000734035.1,1344584,thermophile,80.0,0.489,Archaeoglobus_fulgidus,Archaea~Methanobacteriota~Archaeoglobi~Archaeoglobales~Archaeoglobaceae~Archaeoglobus~Archaeoglobus_fulgidus
GCF_000336755.1,1230453,mesophile,37.0,0.623,Haloferax_elongans,Archaea~Methanobacteriota~Halobacteria~Halobacteriales~Haloferacaceae~Haloferax~Haloferax_elongans
GCF_000739065.1,1301915,thermophile,80.0,0.312,Methanocaldococcus_bathoardescens,Archaea~Methanobacteriota~Methanococci~Methanococcales~Methanocaldococcaceae~Methanocaldococcus~Methanocaldococcus_bathoardescens
GCF_008831545.1,2650975,mesophile,37.0,0.626,Halorussus_halophilus,Archaea~Methanobacteriota~Halobacteria~Halobacteriales~Haladaptataceae~Halorussus~Halorussus_halophilus
GCF_004785955.1,2528831,mesophile,37.0,0.692,Halostella_litorea,Archaea~Methanobacteriota~Halobacteria~Halobacteriales~Natronoarchaeaceae~Halostella~Halostella_litorea
GCF_006861665.1,2487750,mesophile,37.0,0.623,Halonotius_terrestris,Archaea~Methanobacteriota~Halobacteria~Halobacteriales~Haloferacaceae~Halonotius~Halonotius_terrestris
GCF_001011115.1,1604004,mesophile,38.5,0.637,Halanaeroarchaeum_sulfurireducens,Archaea~Methanobacteriota~Halobacteria~Halobacteriales~Halobacteriaceae~Halanaeroarchaeum~Halanaeroarchaeum_sulfurireducens
GCF_035390695.1,2203,mesophile,37.0,0.473,Methanospirillum_hungatei,Archaea~Methanobacteriota~Methanomicrobia~Methanomicrobiales~Methanospirillaceae~Methanospirillum~Methanospirillum_hungatei
GCF_900110455.1,1202768,mesophile,41.0,0.665,Natrinema_salifodinae,Archaea~Methanobacteriota~Halobacteria~Halobacteriales~Natrialbaceae~Natrinema~Natrinema_salifodinae
GCF_002844195.1,1985678,mesophile,37.0,0.681,Halegenticoccus_soli,Archaea~Methanobacteriota~Halobacteria~Halobacteriales~Haloferacaceae~Halegenticoccus~Halegenticoccus_soli
GCF_039522565.1,425309,mesophile,37.0,0.685,Halorubrum_ejinorense,Archaea~Methanobacteriota~Halobacteria~Halobacteriales~Haloferacaceae~Halorubrum~Halorubrum_ejinorense
GCF_000700025.1,2248,mesophile,37.0,0.666,Halorubrum_saccharovorum,Archaea~Methanobacteriota~Halobacteria~Halobacteriales~Haloferacaceae~Halorubrum~Halorubrum_saccharovorum
GCF_900108095.1,640943,mesophile,37.0,0.623,Natronorubrum_sediminis,Archaea~Methanobacteriota~Halobacteria~Halobacteriales~Natrialbaceae~Natronorubrum~Natronorubrum_sediminis
GCF_019669925.1,39441,mesophile,37.0,0.29,Methanobrevibacter_arboriphilus,Archaea~Methanobacteriota~Methanobacteria~Methanobacteriales~Methanobacteriaceae~Methanobrevibacter~Methanobrevibacter_arboriphilus
GCF_024807035.1,523842,mesophile,35.0,0.319,Methanococcus_voltae,Archaea~Methanobacteriota~Methanococci~Methanococcales~Methanococcaceae~Methanococcus~Methanococcus_voltae
GCF_013343295.1,1532350,thermophile,70.0,0.457,Metallosphaera_tengchongensis,Archaea~Thermoproteota~Thermoprotei~Sulfolobales~Sulfolobaceae~Metallosphaera~Metallosphaera_tengchongensis
GCF_000264495.1,1184251,hyperthermophile,84.0,0.561,Thermogladius_calderae,Archaea~Thermoproteota~Thermoprotei~Desulfurococcales~Desulfurococcaceae~Thermogladius~Thermogladius_calderae
GCF_013329715.1,2320,hyperthermophile,98.0,0.605,Methanopyrus_kandleri,Archaea~Methanobacteriota~Methanopyri~Methanopyrales~Methanopyraceae~Methanopyrus~Methanopyrus_kandleri
GCF_000009185.1,362976,mesophile,37.0,0.489,Haloquadratum_walsbyi,Archaea~Methanobacteriota~Halobacteria~Halobacteriales~Haloferacaceae~Haloquadratum~Haloquadratum_walsbyi
GCF_038562635.1,2164,mesophile,41.0,0.357,Methanobacterium_unclassified,Archaea~Methanobacteriota~Methanobacteria~Methanobacteriales~Methanobacteriaceae~Methanobacterium~Methanobacterium_unclassified
GCF_000504205.1,1090322,mesophile,25.0,0.41,Methanolobus_tindarius,Archaea~Methanobacteriota~Methanomicrobia~Methanosarcinales~Methanosarcinaceae~Methanolobus~Methanolobus_tindarius
GCF_000403645.1,1333523,mesophile,40.0,0.672,Salinarchaeum_unclassified,Archaea~Methanobacteriota~Halobacteria~Halobacteriales~Natronoarchaeaceae~Salinarchaeum~Salinarchaeum_unclassified
GCF_024464595.1,755310,mesophile,37.0,0.662,Halobellus_litoreus,Archaea~Methanobacteriota~Halobacteria~Halobacteriales~Haloferacaceae~Halobellus~Halobellus_litoreus
GCF_000739575.1,1448860,mesophile,37.0,0.652,Halobellus_rufus,Archaea~Methanobacteriota~Halobacteria~Halobacteriales~Haloferacaceae~Halobellus~Halobellus_rufus
GCF_019633745.1,299308,mesophile,37.0,0.618,Methanofollis_formosanus,Archaea~Methanobacteriota~Methanomicrobia~Methanomicrobiales~Methanomicrobiaceae~Methanofollis~Methanofollis_formosanus
GCF_000337535.1,1227491,mesophile,37.0,0.634,Natrialba_aegyptia,Archaea~Methanobacteriota~Halobacteria~Halobacteriales~Natrialbaceae~Natrialba~Natrialba_aegyptia
GCF_000816105.1,1432656,hyperthermophile,88.0,0.536,Thermococcus_guaymasensis,Archaea~Methanobacteriota~Thermococci~Thermococcales~Thermococcaceae~Thermococcus~Thermococcus_guaymasensis
GCF_002078355.1,74969,mesophile,35.0,0.377,Ferroplasma_acidiphilum,Archaea~Thermoplasmatota~Thermoplasmata~Thermoplasmatales~Ferroplasmaceae~Ferroplasma~Ferroplasma_acidiphilum
GCF_042663345.1,1109010,mesophile,40.0,0.667,Haloferax_chudinovii,Archaea~Methanobacteriota~Halobacteria~Halobacteriales~Haloferacaceae~Haloferax~Haloferax_chudinovii
GCF_001282785.1,1480675,mesophile,38.5,0.686,Halolamina_sediminis,Archaea~Methanobacteriota~Halobacteria~Halobacteriales~Haloferacaceae~Halolamina~Halolamina_sediminis
GCF_000970285.1,1434110,mesophile,37.0,0.439,Methanosarcina_horonobensis,Archaea~Methanobacteriota~Methanomicrobia~Methanosarcinales~Methanosarcinaceae~Methanosarcina~Methanosarcina_horonobensis
GCF_001602375.1,528314,mesophile,39.5,0.629,Methanoculleus_horonobensis,Archaea~Methanobacteriota~Methanomicrobia~Methanomicrobiales~Methanomicrobiaceae~Methanoculleus~Methanoculleus_horonobensis
GCF_001542905.1,1758255,mesophile,41.0,0.687,Halorubrum_aethiopicum,Archaea~Methanobacteriota~Halobacteria~Halobacteriales~Haloferacaceae~Halorubrum~Halorubrum_aethiopicum
GCA_046534035.1,1111107,thermophile,65.0,0.493,Metallosphaera_yellowstonensis,Archaea~Thermoproteota~Thermoprotei~Sulfolobales~Sulfolobaceae~Metallosphaera~Metallosphaera_yellowstonensis
GCF_001577775.1,1609559,hyperthermophile,105.0,0.45,Pyrococcus_kukulkanii,Archaea~Methanobacteriota~Thermococci~Thermococcales~Thermococcaceae~Pyrococcus~Pyrococcus_kukulkanii
GCF_000337095.1,1227487,mesophile,30.0,0.667,Halogeometricum_pallidum,Archaea~Methanobacteriota~Halobacteria~Halobacteriales~Haloferacaceae~Halogeometricum~Halogeometricum_pallidum
GCF_000013445.1,323259,mesophile,37.0,0.461,Methanospirillum_hungatei,Archaea~Methanobacteriota~Methanomicrobia~Methanomicrobiales~Methanospirillaceae~Methanospirillum~Methanospirillum_hungatei
GCF_017874455.1,1615586,mesophile,40.0,0.408,Methanobacterium_aggregans,Archaea~Methanobacteriota~Methanobacteria~Methanobacteriales~Methanobacteriaceae~Methanobacterium~Methanobacterium_aggregans
GCF_000379085.1,1069082,mesophile,38.5,0.663,Halomicrobium_katesii,Archaea~Methanobacteriota~Halobacteria~Halobacteriales~Haloarculaceae~Halomicrobium~Halomicrobium_katesii
GCF_036967215.1,207809,hyperthermophile,85.0,0.349,Sulfolobus_tengchongensis,Archaea~Thermoproteota~Thermoprotei~Sulfolobales~Sulfolobaceae~Sulfolobus~Sulfolobus_tengchongensis
GCF_024494565.1,1364933,mesophile,37.0,0.7,Halorubrum_rutilum,Archaea~Methanobacteriota~Halobacteria~Halobacteriales~Haloferacaceae~Halorubrum~Halorubrum_rutilum
GCF_000007065.1,192952,mesophile,30.0,0.442,Methanosarcina_mazei,Archaea~Methanobacteriota~Methanomicrobia~Methanosarcinales~Methanosarcinaceae~Methanosarcina~Methanosarcina_mazei
GCF_017873855.1,547055,mesophile,37.0,0.586,Methanolinea_mesophila,Archaea~Methanobacteriota~Methanomicrobia~Methanomicrobiales~Methanoregulaceae~Methanolinea~Methanolinea_mesophila
GCF_000025685.1,309800,mesophile,42.0,0.665,Haloferax_volcanii,Archaea~Methanobacteriota~Halobacteria~Halobacteriales~Haloferacaceae~Haloferax~Haloferax_volcanii
GCA_001509375.1,301375,mesophile,35.5,0.58,Methanothrix_harundinacea,Archaea~Methanobacteriota~Methanomicrobia~Methanotrichales~Methanotrichaceae~Methanothrix~Methanothrix_harundinacea
GCF_003369835.1,660515,mesophile,37.0,0.69,Halorussus_rarus,Archaea~Methanobacteriota~Halobacteria~Halobacteriales~Haladaptataceae~Halorussus~Halorussus_rarus
GCF_000334895.1,1232219,mesophile,42.0,0.67,Halococcus_agarilyticus,Archaea~Methanobacteriota~Halobacteria~Halobacteriales~Halococcaceae~Halococcus~Halococcus_agarilyticus
GCF_024498175.1,1912324,mesophile,37.0,0.68,Haloplanus_salinarum,Archaea~Methanobacteriota~Halobacteria~Halobacteriales~Haloferacaceae~Haloplanus~Haloplanus_salinarum
GCF_049705545.1,396317,mesophile,41.0,0.641,Haloarcula_amylolytica,Archaea~Methanobacteriota~Halobacteria~Halobacteriales~Haloarculaceae~Haloarcula~Haloarcula_amylolytica
GCF_003856835.1,660522,mesophile,38.5,0.665,Haloplanus_aerogenes,Archaea~Methanobacteriota~Halobacteria~Halobacteriales~Haloferacaceae~Haloplanus~Haloplanus_aerogenes
GCF_003814835.1,1122229,mesophile,37.0,0.313,Methanobrevibacter_gottschalkii,Archaea~Methanobacteriota~Methanobacteria~Methanobacteriales~Methanobacteriaceae~Methanobrevibacter~Methanobrevibacter_gottschalkii
GCF_024498195.1,1487865,mesophile,40.0,0.657,Halovivax_cerinus,Archaea~Methanobacteriota~Halobacteria~Halobacteriales~Natrialbaceae~Halovivax~Halovivax_cerinus
GCF_900102375.1,261291,mesophile,37.0,0.692,Halorubrum_xinjiangense,Archaea~Methanobacteriota~Halobacteria~Halobacteriales~Haloferacaceae~Halorubrum~Halorubrum_xinjiangense
GCF_900182635.1,413815,mesophile,37.0,0.677,Halorubrum_cibi,Archaea~Methanobacteriota~Halobacteria~Halobacteriales~Haloferacaceae~Halorubrum~Halorubrum_cibi
GCF_002177135.1,253108,mesophile,41.0,0.613,Natronolimnobius_baerhuensis,Archaea~Methanobacteriota~Halobacteria~Halobacteriales~Natrialbaceae~Natronolimnobius~Natronolimnobius_baerhuensis
GCF_001027005.1,796385,mesophile,40.0,0.423,Methanosarcina_barkeri,Archaea~Methanobacteriota~Methanomicrobia~Methanosarcinales~Methanosarcinaceae~Methanosarcina~Methanosarcina_barkeri
GCF_004118325.1,2479928,mesophile,37.0,0.666,Halorientalis_pallida,Archaea~Methanobacteriota~Halobacteria~Halobacteriales~Haloarculaceae~Halorientalis~Halorientalis_pallida
GCF_002287175.1,2161,mesophile,37.0,0.355,Methanobacterium_bryantii,Archaea~Methanobacteriota~Methanobacteria~Methanobacteriales~Methanobacteriaceae~Methanobacterium~Methanobacterium_bryantii
GCF_007119345.1,1935978,mesophile,37.0,0.691,Halovivax_unclassified,Archaea~Methanobacteriota~Halobacteria~Halobacteriales~Natrialbaceae~Halovivax~Halovivax_unclassified
GCF_000337475.1,1230457,thermophile,47.5,0.631,Natrinema_limicola,Archaea~Methanobacteriota~Halobacteria~Halobacteriales~Natrialbaceae~Natrinema~Natrinema_limicola
GCF_017874235.1,1202767,mesophile,39.5,0.672,Halolamina_salifodinae,Archaea~Methanobacteriota~Halobacteria~Halobacteriales~Haloferacaceae~Halolamina~Halolamina_salifodinae
GCF_017873555.1,29284,mesophile,37.0,0.689,Halorubrum_trapanicum,Archaea~Methanobacteriota~Halobacteria~Halobacteriales~Haloferacaceae~Halorubrum~Halorubrum_trapanicum
GCF_000022545.1,604354,thermophile,78.0,0.406,Thermococcus_sibiricus,Archaea~Methanobacteriota~Thermococci~Thermococcales~Thermococcaceae~Thermococcus~Thermococcus_sibiricus
GCF_000214725.1,868131,mesophile,28.0,0.385,Methanobacterium_paludis,Archaea~Methanobacteriota~Methanobacteria~Methanobacteriales~Methanobacteriaceae~Methanobacterium~Methanobacterium_paludis
GCF_900064395.1,2265,hyperthermophile,83.0,0.436,Thermococcus_litoralis,Archaea~Methanobacteriota~Thermococci~Thermococcales~Thermococcaceae~Thermococcus~Thermococcus_litoralis
GCF_000328685.1,694430,mesophile,37.0,0.659,Natronococcus_occultus,Archaea~Methanobacteriota~Halobacteria~Halobacteriales~Natrialbaceae~Natronococcus~Natronococcus_occultus
GCF_007655485.1,2592614,mesophile,42.0,0.642,Halobellus_captivus,Archaea~Methanobacteriota~Halobacteria~Halobacteriales~Haloferacaceae~Halobellus~Halobellus_captivus
GCF_023074835.1,1872699,mesophile,30.0,0.676,Halomarina_salina,Archaea~Methanobacteriota~Halobacteria~Halobacteriales~Natronomonadaceae~Halomarina~Halomarina_salina
GCF_000421805.1,1121945,mesophile,38.5,0.679,Halorubrum_ezzemoulense,Archaea~Methanobacteriota~Halobacteria~Halobacteriales~Haloferacaceae~Halorubrum~Halorubrum_ezzemoulense
GCF_000151105.2,391623,hyperthermophile,85.0,0.421,Thermococcus_barophilus,Archaea~Methanobacteriota~Thermococci~Thermococcales~Thermococcaceae~Thermococcus~Thermococcus_barophilus
GCF_900115675.1,699431,mesophile,37.0,0.678,Halolamina_pelagica,Archaea~Methanobacteriota~Halobacteria~Halobacteriales~Haloferacaceae~Halolamina~Halolamina_pelagica
GCF_052043865.1,36738,mesophile,37.0,0.645,Halococcus_salifodinae,Archaea~Methanobacteriota~Halobacteria~Halobacteriales~Halococcaceae~Halococcus~Halococcus_salifodinae
GCF_001889405.1,2177,mesophile,30.0,0.434,Methanohalophilus_halophilus,Archaea~Methanobacteriota~Methanomicrobia~Methanosarcinales~Methanosarcinaceae~Methanohalophilus~Methanohalophilus_halophilus
GCF_000226975.2,358396,mesophile,43.5,0.663,Natronobacterium_lacisalsi,Archaea~Methanobacteriota~Halobacteria~Halobacteriales~Natrialbaceae~Natronobacterium~Natronobacterium_lacisalsi
GCF_000337835.1,662480,mesophile,37.0,0.672,Haloferax_sulfurifontis,Archaea~Methanobacteriota~Halobacteria~Halobacteriales~Haloferacaceae~Haloferax~Haloferax_sulfurifontis
GCF_000875775.1,1582439,mesophile,32.0,0.344,Nitrosopumilus_piranensis,Archaea~Nitrososphaerota~Nitrososphaeria~Nitrosopumilales~Nitrosopumilaceae~Nitrosopumilus~Nitrosopumilus_piranensis
GCF_004799645.1,61858,mesophile,45.0,0.617,Natronorubrum_bangense,Archaea~Methanobacteriota~Halobacteria~Halobacteriales~Natrialbaceae~Natronorubrum~Natronorubrum_bangense
GCF_000739595.1,413816,mesophile,37.5,0.666,Halorubrum_halophilum,Archaea~Methanobacteriota~Halobacteria~Halobacteriales~Haloferacaceae~Halorubrum~Halorubrum_halophilum
GCF_001647085.1,1712654,thermophile,75.0,0.52,Thermococcus_piezophilus,Archaea~Methanobacteriota~Thermococci~Thermococcales~Thermococcaceae~Thermococcus~Thermococcus_piezophilus
GCF_025629245.1,1679076,mesophile,43.0,0.666,Natronobiforma_cellulositropha,Archaea~Methanobacteriota~Halobacteria~Halobacteriales~Natrialbaceae~Natronobiforma~Natronobiforma_cellulositropha
GCF_000304355.2,1201294,mesophile,37.0,0.616,Methanoculleus_bourgensis,Archaea~Methanobacteriota~Methanomicrobia~Methanomicrobiales~Methanomicrobiaceae~Methanoculleus~Methanoculleus_bourgensis
GCF_014647475.1,1383812,mesophile,40.0,0.677,Halocalculus_aciditolerans,Archaea~Methanobacteriota~Halobacteria~Halobacteriales~Halobacteriaceae~Halocalculus~Halocalculus_aciditolerans
GCF_000302455.1,1204725,mesophile,37.0,0.409,Methanobacterium_formicicum,Archaea~Methanobacteriota~Methanobacteria~Methanobacteriales~Methanobacteriaceae~Methanobacterium~Methanobacterium_formicicum
GCF_023699475.1,2071873,mesophile,37.0,0.673,Halomarina_rubra,Archaea~Methanobacteriota~Halobacteria~Halobacteriales~Natronomonadaceae~Halomarina~Halomarina_rubra
GCF_900107195.1,660517,mesophile,37.0,0.65,Halobellus_clavatus,Archaea~Methanobacteriota~Halobacteria~Halobacteriales~Haloferacaceae~Halobellus~Halobellus_clavatus
GCF_006274605.1,2586643,thermophile,80.0,0.557,Thermococcus_indicus,Archaea~Methanobacteriota~Thermococci~Thermococcales~Thermococcaceae~Thermococcus~Thermococcus_indicus
GCF_900104065.1,1095778,mesophile,37.0,0.64,Natronobacterium_texcoconense,Archaea~Methanobacteriota~Halobacteria~Halobacteriales~Natrialbaceae~Natronobacterium~Natronobacterium_texcoconense
GCF_016906025.1,2675099,mesophile,42.0,0.655,Haloterrigena_salifodinae,Archaea~Methanobacteriota~Halobacteria~Halobacteriales~Natrialbaceae~Haloterrigena~Haloterrigena_salifodinae
GCF_000223395.1,694429,hyperthermophile,106.0,0.55,Pyrolobus_fumarii,Archaea~Thermoproteota~Thermoprotei~Desulfurococcales~Pyrodictiaceae~Pyrolobus~Pyrolobus_fumarii
GCF_041154675.1,2049879,hyperthermophile,82.5,0.322,Sulfurisphaera_javensis,Archaea~Thermoproteota~Thermoprotei~Sulfolobales~Sulfolobaceae~Sulfurisphaera~Sulfurisphaera_javensis
GCF_043677095.1,1052014,mesophile,41.0,0.66,Natronococcus_roseus,Archaea~Methanobacteriota~Halobacteria~Halobacteriales~Natrialbaceae~Natronococcus~Natronococcus_roseus
GCF_000337215.1,1227499,mesophile,43.0,0.655,Natronolimnohabitans_innermongolicus,Archaea~Methanobacteriota~Halobacteria~Halobacteriales~Natrialbaceae~Natronolimnohabitans~Natronolimnohabitans_innermongolicus
GCF_009729545.1,12915,hyperthermophile,88.0,0.347,Acidianus_infernus,Archaea~Thermoproteota~Thermoprotei~Sulfolobales~Sulfolobaceae~Acidianus~Acidianus_infernus
GCF_009791395.1,671145,mesophile,37.0,0.674,Halomarina_oriensis,Archaea~Methanobacteriota~Halobacteria~Halobacteriales~Natronomonadaceae~Halomarina~Halomarina_oriensis
GCF_039522665.1,926360,mesophile,37.0,0.677,Natronoarchaeum_mannanilyticum,Archaea~Methanobacteriota~Halobacteria~Halobacteriales~Natronoarchaeaceae~Natronoarchaeum~Natronoarchaeum_mannanilyticum
GCA_035690245.1,29286,mesophile,37.0,0.598,Halococcus_unclassified,Archaea~Methanobacteriota~Halobacteria~Halobacteriales~Halococcaceae~Halococcus~Halococcus_unclassified
GCF_965227985.1,54120,mesophile,37.0,0.488,Methanolacinia_petrolearia,Archaea~Methanobacteriota~Methanomicrobia~Methanomicrobiales~Methanomicrobiaceae~Methanolacinia~Methanolacinia_petrolearia
GCF_009392895.1,348826,mesophile,45.0,0.627,Natronorubrum_aibiense,Archaea~Methanobacteriota~Halobacteria~Halobacteriales~Natrialbaceae~Natronorubrum~Natronorubrum_aibiense
GCF_000144915.1,666510,thermophile,80.0,0.579,Acidilobus_saccharovorans,Archaea~Thermoproteota~Thermoprotei~Acidilobales~Acidilobaceae~Acidilobus~Acidilobus_saccharovorans
GCF_000385565.1,387631,thermophile,75.0,0.442,Archaeoglobus_sulfaticallidus,Archaea~Methanobacteriota~Archaeoglobi~Archaeoglobales~Archaeoglobaceae~Archaeoglobus~Archaeoglobus_sulfaticallidus
GCF_041410205.1,2951803,psychrophile,20.0,0.347,cLokiarchaeum_unclassified,Archaea~Promethearchaeota~Promethearchaeia~Promethearchaeales~Promethearchaeaceae~cLokiarchaeum~cLokiarchaeum_unclassified
GCF_000275865.1,28892,mesophile,37.0,0.62,Methanofollis_liminatans,Archaea~Methanobacteriota~Methanomicrobia~Methanomicrobiales~Methanomicrobiaceae~Methanofollis~Methanofollis_liminatans
GCF_008152015.1,2598455,hyperthermophile,85.0,0.558,Thermococcus_aciditolerans,Archaea~Methanobacteriota~Thermococci~Thermococcales~Thermococcaceae~Thermococcus~Thermococcus_aciditolerans
GCF_001639285.1,47311,mesophile,37.0,0.301,Methanobrevibacter_cuticularis,Archaea~Methanobacteriota~Methanobacteria~Methanobacteriales~Methanobacteriaceae~Methanobrevibacter~Methanobrevibacter_cuticularis
GCF_002243045.1,1874706,mesophile,35.0,0.427,Methanolobus_psychrotolerans,Archaea~Methanobacteriota~Methanomicrobia~Methanosarcinales~Methanosarcinaceae~Methanolobus~Methanolobus_psychrotolerans
GCF_000026045.1,348780,mesophile,37.0,0.637,Natronomonas_pharaonis,Archaea~Methanobacteriota~Halobacteria~Halobacteriales~Natronomonadaceae~Natronomonas~Natronomonas_pharaonis
GCF_013414235.1,121277,hyperthermophile,95.0,0.559,Pyrobaculum_arsenaticum,Archaea~Thermoproteota~Thermoprotei~Thermoproteales~Thermoproteaceae~Pyrobaculum~Pyrobaculum_arsenaticum
GCF_019175305.1,2286,thermophile,75.0,0.361,Saccharolobus_shibatae,Archaea~Thermoproteota~Thermoprotei~Sulfolobales~Sulfolobaceae~Saccharolobus~Saccharolobus_shibatae
GCF_025231485.1,1364945,mesophile,37.0,0.69,Salinirubellus_salinus,Archaea~Methanobacteriota~Halobacteria~Halobacteriales~Natronomonadaceae~Salinirubellus~Salinirubellus_salinus
GCF_900110865.1,1186196,mesophile,45.0,0.66,Natrinema_salaciae,Archaea~Methanobacteriota~Halobacteria~Halobacteriales~Natrialbaceae~Natrinema~Natrinema_salaciae
GCF_004102725.1,1550565,mesophile,37.0,0.608,Methanoculleus_taiwanensis,Archaea~Methanobacteriota~Methanomicrobia~Methanomicrobiales~Methanomicrobiaceae~Methanoculleus~Methanoculleus_taiwanensis
GCF_003439925.1,2283527,mesophile,37.0,0.662,Haloprofundus_halophilus,Archaea~Methanobacteriota~Halobacteria~Halobacteriales~Haloferacaceae~Haloprofundus~Haloprofundus_halophilus
GCF_000016605.1,399549,thermophile,70.0,0.472,Metallosphaera_sedula,Archaea~Thermoproteota~Thermoprotei~Sulfolobales~Sulfolobaceae~Metallosphaera~Metallosphaera_sedula
GCF_016065055.1,1198301,mesophile,40.0,0.691,Halosimplex_litoreum,Archaea~Methanobacteriota~Halobacteria~Halobacteriales~Haloarculaceae~Halosimplex~Halosimplex_litoreum
